,threshold,precision,recall,fpr
0,-1.0,0.46740467404674046,1.0,1.0
1,-0.98,0.46740467404674046,1.0,1.0
2,-0.96,0.46740467404674046,1.0,1.0
3,-0.94,0.46740467404674046,1.0,1.0
4,-0.9199999999999999,0.46740467404674046,1.0,1.0
5,-0.8999999999999999,0.46740467404674046,1.0,1.0
6,-0.8799999999999999,0.46740467404674046,1.0,1.0
7,-0.8599999999999999,0.46740467404674046,1.0,1.0
8,-0.8399999999999999,0.46740467404674046,1.0,1.0
9,-0.8199999999999998,0.46740467404674046,1.0,1.0
10,-0.7999999999999998,0.46740467404674046,1.0,1.0
11,-0.7799999999999998,0.46740467404674046,1.0,1.0
12,-0.7599999999999998,0.46798029556650245,1.0,0.9976905311778291
13,-0.7399999999999998,0.46740467404674046,1.0,1.0
14,-0.7199999999999998,0.4691358024691358,1.0,0.9930715935334873
15,-0.6999999999999997,0.46740467404674046,1.0,1.0
16,-0.6799999999999997,0.47381546134663344,1.0,0.9745958429561201
17,-0.6599999999999997,0.4720496894409938,1.0,0.9815242494226328
18,-0.6399999999999997,0.468557336621455,1.0,0.9953810623556582
19,-0.6199999999999997,0.46798029556650245,1.0,0.9976905311778291
20,-0.5999999999999996,0.4691358024691358,1.0,0.9930715935334873
21,-0.5799999999999996,0.48223350253807107,1.0,0.9422632794457275
22,-0.5599999999999996,0.4816223067173637,1.0,0.9445727482678984
23,-0.5399999999999996,0.5248618784530387,1.0,0.7944572748267898
24,-0.5199999999999996,0.5337078651685393,1.0,0.766743648960739
25,-0.49999999999999956,0.5555555555555556,1.0,0.7020785219399538
26,-0.47999999999999954,0.5740181268882175,1.0,0.651270207852194
27,-0.4599999999999995,0.5956112852664577,1.0,0.5958429561200924
28,-0.4399999999999995,0.6089743589743589,1.0,0.5635103926096998
29,-0.4199999999999995,0.6484641638225256,1.0,0.47575057736720555
30,-0.39999999999999947,0.7116104868913857,1.0,0.3556581986143187
31,-0.37999999999999945,0.657439446366782,1.0,0.45727482678983833
32,-0.35999999999999943,0.8333333333333334,1.0,0.17551963048498845
33,-0.3399999999999994,0.7050092764378478,1.0,0.3672055427251732
34,-0.3199999999999994,0.7089552238805971,1.0,0.36027713625866054
35,-0.2999999999999994,0.7692307692307693,1.0,0.2632794457274827
36,-0.27999999999999936,0.8597285067873304,1.0,0.14318706697459585
37,-0.25999999999999934,0.892018779342723,1.0,0.10623556581986143
38,-0.23999999999999932,0.852017937219731,1.0,0.15242494226327943
39,-0.2199999999999993,0.9156626506024096,1.0,0.08083140877598152
40,-0.1999999999999993,0.979381443298969,1.0,0.018475750577367205
41,-0.17999999999999927,0.9245742092457421,1.0,0.07159353348729793
42,-0.15999999999999925,0.9429280397022333,1.0,0.053117782909930716
43,-0.13999999999999924,0.9110576923076923,0.9973684210526316,0.08545034642032333
44,-0.11999999999999922,0.9643765903307888,0.9973684210526316,0.03233256351039261
45,-0.0999999999999992,1.0,0.9868421052631579,0.0
46,-0.07999999999999918,0.9717948717948718,0.9973684210526316,0.025404157043879907
47,-0.059999999999999165,0.9947643979057592,1.0,0.004618937644341801
48,-0.03999999999999915,0.9973404255319149,0.9868421052631579,0.0023094688221709007
49,-0.01999999999999913,0.9918918918918919,0.9657894736842105,0.006928406466512702
50,8.881784197001252e-16,0.9947089947089947,0.9894736842105263,0.004618937644341801
51,0.020000000000000906,1.0,0.9763157894736842,0.0
52,0.040000000000000924,1.0,0.9842105263157894,0.0
53,0.06000000000000094,1.0,0.9605263157894737,0.0
54,0.08000000000000096,1.0,0.9815789473684211,0.0
55,0.10000000000000098,1.0,0.9,0.0
56,0.120000000000001,1.0,0.9578947368421052,0.0
57,0.140000000000001,1.0,0.968421052631579,0.0
58,0.16000000000000103,1.0,0.8868421052631579,0.0
59,0.18000000000000105,1.0,0.9157894736842105,0.0
60,0.20000000000000107,1.0,0.8631578947368421,0.0
61,0.22000000000000108,1.0,0.8736842105263158,0.0
62,0.2400000000000011,1.0,0.881578947368421,0.0
63,0.2600000000000011,1.0,0.8473684210526315,0.0
64,0.28000000000000114,1.0,0.8131578947368421,0.0
65,0.30000000000000115,1.0,0.8447368421052631,0.0
66,0.3200000000000012,1.0,0.6368421052631579,0.0
67,0.3400000000000012,1.0,0.8236842105263158,0.0
68,0.3600000000000012,1.0,0.8263157894736842,0.0
69,0.3800000000000012,1.0,0.7710526315789473,0.0
70,0.40000000000000124,1.0,0.7763157894736842,0.0
71,0.42000000000000126,1.0,0.7210526315789474,0.0
72,0.4400000000000013,1.0,0.7289473684210527,0.0
73,0.4600000000000013,1.0,0.6578947368421053,0.0
74,0.4800000000000013,1.0,0.7394736842105263,0.0
75,0.5000000000000013,1.0,0.6394736842105263,0.0
76,0.5200000000000014,1.0,0.5710526315789474,0.0
77,0.5400000000000014,1.0,0.41842105263157897,0.0
78,0.5600000000000014,1.0,0.4368421052631579,0.0
79,0.5800000000000014,1.0,0.3526315789473684,0.0
80,0.6000000000000014,1.0,0.3368421052631579,0.0
81,0.6200000000000014,1.0,0.4789473684210526,0.0
82,0.6400000000000015,1.0,0.20526315789473684,0.0
83,0.6600000000000015,1.0,0.04473684210526316,0.0
84,0.6800000000000015,1.0,0.013157894736842105,0.0
85,0.7000000000000015,1.0,0.039473684210526314,0.0
86,0.7200000000000015,1.0,0.013157894736842105,0.0
87,0.7400000000000015,1.0,0.0,0.0
88,0.7600000000000016,1.0,0.0,0.0
89,0.7800000000000016,1.0,0.002631578947368421,0.0
90,0.8000000000000016,1.0,0.0,0.0
91,0.8200000000000016,1.0,0.0,0.0
